"ind_id","Sex","Ethnicity","question","response","domain2","age"
262055213,"Female","bayaka","daily_activity","Me","daily_activity","a"
262055283,"Female","bayaka","daily_activity","Me","daily_activity","b"
262055260,"Female","bayaka","daily_activity","Partner","daily_activity","d"
262091545,"Female","bandongo","daily_activity","Together","daily_activity","b"
262055174,"Female","bayaka","daily_activity","Me","daily_activity","d"
262055247,"Female","bayaka","daily_activity","Partner","daily_activity","b"
262055170,"Male","bayaka","daily_activity","Me","daily_activity","d"
262055280,"Female","bayaka","daily_activity","Together","daily_activity","c"
262055084,"Female","bandongo","daily_activity","Partner","daily_activity","a"
262055187,"Female","bayaka","daily_activity","Me","daily_activity","c"
262054992,"Female","bandongo","daily_activity","Me","daily_activity","a"
262054988,"Female","bandongo","daily_activity","Me","daily_activity","a"
262055208,"Male","bayaka","daily_activity","Me","daily_activity","b"
262055030,"Female","bandongo","daily_activity","Me","daily_activity","a"
262091598,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055035,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055203,"Female","bayaka","daily_activity","Together","daily_activity","b"
262055006,"Female","bandongo","daily_activity","Partner","daily_activity","a"
262091585,"Female","bandongo","daily_activity","Together","daily_activity","b"
262091636,"Female","bandongo","daily_activity","Together","daily_activity","b"
262055081,"Female","bandongo","daily_activity","Together","daily_activity","b"
262055210,"Male","bayaka","daily_activity","Together","daily_activity","a"
262055192,"Female","bayaka","daily_activity","Me","daily_activity","b"
262055211,"Female","bayaka","daily_activity","Partner","daily_activity","a"
262091711,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055066,"Female","bandongo","daily_activity","Together","daily_activity","d"
262091702,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055165,"Male","bayaka","daily_activity","Together","daily_activity","d"
262055212,"Male","bayaka","daily_activity","Partner","daily_activity","b"
262055267,"Female","bayaka","daily_activity","Partner","daily_activity","a"
262055177,"Male","bayaka","daily_activity","Partner","daily_activity","b"
262055236,"Female","bayaka","daily_activity","Me","daily_activity","c"
262055242,"Female","bayaka","daily_activity","Others","daily_activity","a"
262091525,"Female","bandongo","daily_activity","Partner","daily_activity","a"
262055189,"Female","bayaka","daily_activity","Others","daily_activity","b"
262055263,"Female","bayaka","daily_activity","Me","daily_activity","c"
262055201,"Female","bayaka","daily_activity","Me","daily_activity","a"
262055209,"Female","bayaka","daily_activity","Partner","daily_activity","c"
262054995,"Female","bandongo","daily_activity","Me","daily_activity","a"
262055250,"Female","bayaka","daily_activity","Together","daily_activity","b"
262055188,"Female","bayaka","daily_activity","Me","daily_activity","c"
262055197,"Female","bayaka","daily_activity","Me","daily_activity","b"
262055058,"Female","bandongo","daily_activity","Together","daily_activity","c"
262055061,"Female","bandongo","daily_activity","Me","daily_activity","a"
262055064,"Female","bandongo","daily_activity","Together","daily_activity","b"
262055083,"Female","bandongo","daily_activity","Me","daily_activity","d"
262055001,"Female","bandongo","daily_activity","Me","daily_activity","a"
262055085,"Female","bandongo","daily_activity","Me","daily_activity","a"
262055225,"Male","bayaka","daily_activity","Together","daily_activity","c"
262055222,"Male","bayaka","daily_activity","Me","daily_activity","a"
262055200,"Female","bayaka","daily_activity","Me","daily_activity","a"
262055228,"Female","bayaka","daily_activity","Together","daily_activity","b"
262055207,"Female","bayaka","daily_activity","Partner","daily_activity","c"
262055162,"Male","bayaka","daily_activity","Me","daily_activity","a"
262055023,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055218,"Male","bayaka","daily_activity","Together","daily_activity","b"
262055020,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055233,"Female","bayaka","daily_activity","Partner","daily_activity","b"
262055276,"Female","bayaka","daily_activity","Me","daily_activity","d"
262055180,"Female","bayaka","daily_activity","Me","daily_activity","c"
262091684,"Female","bandongo","daily_activity","Together","daily_activity","b"
262055014,"Female","bandongo","daily_activity","Me","daily_activity","c"
262055027,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055199,"Male","bayaka","daily_activity","Together","daily_activity","a"
262055198,"Male","bayaka","daily_activity","Me","daily_activity","a"
262055171,"Female","bayaka","daily_activity","Me","daily_activity","c"
262055215,"Female","bayaka","daily_activity","Partner","daily_activity","d"
262055195,"Male","bayaka","daily_activity","Me","daily_activity","a"
262055010,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055194,"Male","bayaka","daily_activity","Together","daily_activity","a"
262055026,"Female","bandongo","daily_activity","Me","daily_activity","a"
262055186,"Female","bayaka","daily_activity","Others","daily_activity","a"
262055270,"Female","bayaka","daily_activity","Together","daily_activity","c"
262055206,"Male","bayaka","daily_activity","Partner","daily_activity","d"
262091728,"Female","bandongo","daily_activity","Together","daily_activity","a"
262055036,"Female","bandongo","daily_activity","Partner","daily_activity","b"
262055196,"Male","bayaka","daily_activity","Together","daily_activity","b"
262054981,"Female","bandongo","daily_activity","Me","daily_activity","d"
262055265,"Female","bayaka","daily_activity","Partner","daily_activity","b"
262055238,"Female","bayaka","daily_activity","Partner","daily_activity","a"
262091614,"Female","bandongo","daily_activity","Me","daily_activity","c"
262055079,"Female","bandongo","daily_activity","Partner","daily_activity","b"
262055164,"Male","bayaka","daily_activity","Together","daily_activity","b"
262055191,"Female","bayaka","daily_activity","Partner","daily_activity","a"
262055184,"Female","bayaka","daily_activity","Me","daily_activity","a"
262054986,"Male","bandongo","daily_activity","Me","daily_activity","b"
262055245,"Male","bayaka","daily_activity","Together","daily_activity","b"
262091607,"Female","bandongo","daily_activity","Together","daily_activity","c"
262055013,"Female","bandongo","daily_activity","Me","daily_activity","b"
262055273,"Female","bayaka","daily_activity","Partner","daily_activity","a"
262055204,"Female","bayaka","daily_activity","Me","daily_activity","b"
262055190,"Male","bayaka","daily_activity","Me","daily_activity","b"
262055029,"Female","bandongo","daily_activity","Together","daily_activity","b"
262091647,"Female","bandongo","daily_activity","Together","daily_activity","c"
262055176,"Male","bayaka","daily_activity","Partner","daily_activity","b"
262055181,"Male","bayaka","daily_activity","Together","daily_activity","b"
262091669,"Female","bandongo","daily_activity","Together","daily_activity","b"
262055275,"Female","bayaka","daily_activity","Me","daily_activity","b"
262054998,"Female","bandongo","daily_activity","Together","daily_activity","c"
262055167,"Male","bayaka","daily_activity","Together","daily_activity","a"
262055202,"Male","bayaka","daily_activity","Partner","daily_activity","b"
262055205,"Male","bayaka","daily_activity","Me","daily_activity","b"
262055253,"Male","bayaka","daily_subsistence","Together","daily_activity","b"
262055034,"Female","bandongo","daily_subsistence","Together","daily_activity","b"
262055231,"Female","bayaka","daily_subsistence","Partner","daily_activity","a"
262055213,"Female","bayaka","daily_subsistence","Me","daily_activity","a"
262055283,"Female","bayaka","daily_subsistence","Me","daily_activity","b"
262055260,"Female","bayaka","daily_subsistence","Partner","daily_activity","d"
262091545,"Female","bandongo","daily_subsistence","Together","daily_activity","b"
262055174,"Female","bayaka","daily_subsistence","Me","daily_activity","d"
262055247,"Female","bayaka","daily_subsistence","Partner","daily_activity","b"
262055170,"Male","bayaka","daily_subsistence","Me","daily_activity","d"
262055280,"Female","bayaka","daily_subsistence","Me","daily_activity","c"
262055084,"Female","bandongo","daily_subsistence","Partner","daily_activity","a"
262055187,"Female","bayaka","daily_subsistence","Me","daily_activity","c"
262054992,"Female","bandongo","daily_subsistence","Partner","daily_activity","a"
262054988,"Female","bandongo","daily_subsistence","Others","daily_activity","a"
262055208,"Male","bayaka","daily_subsistence","Me","daily_activity","b"
262055030,"Female","bandongo","daily_subsistence","Together","daily_activity","a"
262091598,"Female","bandongo","daily_subsistence","Partner","daily_activity","b"
262055035,"Female","bandongo","daily_subsistence","Partner","daily_activity","b"
262055203,"Female","bayaka","daily_subsistence","Me","daily_activity","b"
262055006,"Female","bandongo","daily_subsistence","Me","daily_activity","a"
262091585,"Female","bandongo","daily_subsistence","Partner","daily_activity","b"
262091636,"Female","bandongo","daily_subsistence","Partner","daily_activity","b"
262055081,"Female","bandongo","daily_subsistence","Me","daily_activity","b"
262055210,"Male","bayaka","daily_subsistence","Together","daily_activity","a"
262055192,"Female","bayaka","daily_subsistence","Me","daily_activity","b"
262055211,"Female","bayaka","daily_subsistence","Me","daily_activity","a"
262091711,"Female","bandongo","daily_subsistence","Me","daily_activity","b"
262055066,"Female","bandongo","daily_subsistence","Partner","daily_activity","d"
262091702,"Female","bandongo","daily_subsistence","Partner","daily_activity","b"
262055165,"Male","bayaka","daily_subsistence","Me","daily_activity","d"
262055212,"Male","bayaka","daily_subsistence","Partner","daily_activity","b"
262055267,"Female","bayaka","daily_subsistence","Partner","daily_activity","a"
262055177,"Male","bayaka","daily_subsistence","Partner","daily_activity","b"
262055236,"Female","bayaka","daily_subsistence","Me","daily_activity","c"
262055242,"Female","bayaka","daily_subsistence","Others","daily_activity","a"
262091525,"Female","bandongo","daily_subsistence","Me","daily_activity","a"
262055189,"Female","bayaka","daily_subsistence","Others","daily_activity","b"
262055263,"Female","bayaka","daily_subsistence","Me","daily_activity","c"
262055201,"Female","bayaka","daily_subsistence","Me","daily_activity","a"
262055209,"Female","bayaka","daily_subsistence","Partner","daily_activity","c"
262054995,"Female","bandongo","daily_subsistence","Partner","daily_activity","a"
262055250,"Female","bayaka","daily_subsistence","Me","daily_activity","b"
262055188,"Female","bayaka","daily_subsistence","Me","daily_activity","c"
262055197,"Female","bayaka","daily_subsistence","Me","daily_activity","b"
262055058,"Female","bandongo","daily_subsistence","Partner","daily_activity","c"
262055061,"Female","bandongo","daily_subsistence","Partner","daily_activity","a"
262055064,"Female","bandongo","daily_subsistence","Partner","daily_activity","b"
262055083,"Female","bandongo","daily_subsistence","Me","daily_activity","d"
262055001,"Female","bandongo","daily_subsistence","Together","daily_activity","a"
262055085,"Female","bandongo","daily_subsistence","Partner","daily_activity","a"
262055225,"Male","bayaka","daily_subsistence","Together","daily_activity","c"
262055222,"Male","bayaka","daily_subsistence","Me","daily_activity","a"
262055200,"Female","bayaka","daily_subsistence","Me","daily_activity","a"
262055228,"Female","bayaka","daily_subsistence","Together","daily_activity","b"
262055207,"Female","bayaka","daily_subsistence","Partner","daily_activity","c"
262055162,"Male","bayaka","daily_subsistence","Partner","daily_activity","a"
262055023,"Female","bandongo","daily_subsistence","Partner","daily_activity","b"
262055218,"Male","bayaka","daily_subsistence","Together","daily_activity","b"
